iter	MultiClass
0	1.097758457
1	1.097091891
2	1.096186004
3	1.095082202
4	1.094512524
5	1.093818307
6	1.093007175
7	1.092279792
8	1.091674744
9	1.091104612
10	1.090449702
11	1.089806818
12	1.089081918
13	1.088169444
14	1.087351113
15	1.086482234
16	1.08590862
17	1.085060343
18	1.084180064
19	1.0837017
20	1.082958908
21	1.08208619
22	1.081114411
23	1.080560703
24	1.079867075
25	1.079093103
26	1.078264958
27	1.077623597
28	1.077083796
29	1.076383146
30	1.075416109
31	1.074706372
32	1.073983611
33	1.073360715
34	1.072545819
35	1.071772937
36	1.070912617
37	1.070633802
38	1.070085525
39	1.069554178
40	1.068982202
41	1.068376776
42	1.06778511
43	1.066810476
44	1.066297043
45	1.065706953
46	1.064975547
47	1.06407581
48	1.063561222
49	1.063004755
50	1.062377731
51	1.061644791
52	1.060884372
53	1.060405588
54	1.059980593
55	1.059241469
56	1.058755287
57	1.058439286
58	1.057802299
59	1.057135261
60	1.057126254
61	1.056543005
62	1.055753152
63	1.055003107
64	1.054277771
65	1.053975478
66	1.053076222
67	1.052603885
68	1.052018128
69	1.051478172
70	1.051067817
71	1.050384408
72	1.049719293
73	1.049062604
74	1.048580434
75	1.048026592
76	1.047419651
77	1.046773521
78	1.046141557
79	1.045399676
80	1.044967858
81	1.044294182
82	1.043664091
83	1.042970265
84	1.042539498
85	1.041872402
86	1.04136446
87	1.040547783
88	1.039856925
89	1.039089949
90	1.038675422
91	1.037885955
92	1.037395345
93	1.036881181
94	1.036171245
95	1.035480576
96	1.034807913
97	1.034727221
98	1.034064187
99	1.03363489
100	1.032769978
101	1.03207409
102	1.031550561
103	1.03078725
104	1.029983176
105	1.029450111
106	1.0288613
107	1.028399937
108	1.027535328
109	1.026959721
110	1.026359781
111	1.025719825
112	1.02497935
113	1.024380926
114	1.023827359
115	1.023072457
116	1.022309337
117	1.021724488
118	1.02097777
119	1.020624489
120	1.019796758
121	1.019064156
122	1.018447146
123	1.017841578
124	1.017488368
125	1.016835975
126	1.016228377
127	1.015401344
128	1.014788861
129	1.014287069
130	1.013751669
131	1.01328828
132	1.01256043
133	1.011851146
134	1.011341279
135	1.010867414
136	1.010397769
137	1.009783004
138	1.009158268
139	1.008421666
140	1.007605599
141	1.007181762
142	1.006760147
143	1.006156029
144	1.005738289
145	1.004956535
146	1.004447528
147	1.004151054
148	1.003525381
149	1.002818147
150	1.002310796
151	1.001753555
152	1.001062615
153	1.000415405
154	0.9997867477
155	0.9988799601
156	0.9981268083
157	0.9972845789
158	0.9968308943
159	0.9962031186
160	0.9956716962
161	0.9951084708
162	0.9947189886
163	0.9941061416
164	0.993439509
165	0.9927938607
166	0.9922715668
167	0.9914859111
168	0.9907980838
169	0.9904306695
170	0.9900044807
171	0.9896227644
172	0.9890625313
173	0.988511933
174	0.9878661349
175	0.9871325135
176	0.9863364775
177	0.985865936
178	0.9852431342
179	0.9845227157
180	0.9840650955
181	0.9835388698
182	0.9829601861
183	0.9825568943
184	0.9819728642
185	0.9813617485
186	0.9807519035
187	0.9800048328
188	0.9795253804
189	0.9788131932
190	0.9781032191
191	0.9776003042
192	0.9769035565
193	0.9760766868
194	0.9754956447
195	0.9747750152
196	0.9742468315
197	0.9737046372
198	0.973005069
199	0.9723322781
