iter	Passed	Remaining
0	1	233
1	2	267
2	4	289
3	5	280
4	6	270
5	7	257
6	9	262
7	11	272
8	12	259
9	13	253
10	14	251
11	15	246
12	16	244
13	18	240
14	19	234
15	19	229
16	21	226
17	22	223
18	23	219
19	24	216
20	24	213
21	26	211
22	27	208
23	28	205
24	29	204
25	30	203
26	31	200
27	32	198
28	33	199
29	34	197
30	35	195
31	36	192
32	37	190
33	38	189
34	39	187
35	40	185
36	41	183
37	42	182
38	43	180
39	44	179
40	45	177
41	46	176
42	47	175
43	49	173
44	50	172
45	51	171
46	52	169
47	53	168
48	54	167
49	55	166
50	56	165
51	57	163
52	58	162
53	59	161
54	60	159
55	61	158
56	62	157
57	63	156
58	64	155
59	65	153
60	66	151
61	67	150
62	68	149
63	69	147
64	70	146
65	71	145
66	72	144
67	73	142
68	74	141
69	75	140
70	76	138
71	77	137
72	78	136
73	79	135
74	80	134
75	81	132
76	82	131
77	83	131
78	84	129
79	85	128
80	86	127
81	87	126
82	88	124
83	89	123
84	90	122
85	91	121
86	92	120
87	93	119
88	94	117
89	95	116
90	96	115
91	97	114
92	98	113
93	99	112
94	100	111
95	101	110
96	102	109
97	103	107
98	104	106
99	105	105
100	106	104
101	108	103
102	109	102
103	110	101
104	111	100
105	112	99
106	113	98
107	114	97
108	115	96
109	116	95
110	117	94
111	118	93
112	119	92
113	120	90
114	121	89
115	122	88
116	123	87
117	124	86
118	125	85
119	126	84
120	127	83
121	128	81
122	129	80
123	130	79
124	131	78
125	132	77
126	133	76
127	134	75
128	135	74
129	136	73
130	137	72
131	138	71
132	139	70
133	140	69
134	141	68
135	142	67
136	143	65
137	144	64
138	145	63
139	146	62
140	147	61
141	148	60
142	149	59
143	150	58
144	151	57
145	152	56
146	153	55
147	154	54
148	155	53
149	156	52
150	157	51
151	158	50
152	159	49
153	160	47
154	161	46
155	162	45
156	163	44
157	164	43
158	165	42
159	166	41
160	167	40
161	168	39
162	169	38
163	170	37
164	171	36
165	172	35
166	172	34
167	174	33
168	175	32
169	176	31
170	177	30
171	178	29
172	179	27
173	180	26
174	180	25
175	181	24
176	182	23
177	183	22
178	184	21
179	185	20
180	186	19
181	187	18
182	188	17
183	189	16
184	190	15
185	191	14
186	192	13
187	193	12
188	194	11
189	195	10
190	196	9
191	197	8
192	198	7
193	199	6
194	200	5
195	201	4
196	202	3
197	203	2
198	204	1
199	205	0
